Descrição da vaga;Lei Decreto;Ato;Matrícula;Nome;;;CPF;Lotação
VEREADOR;jan/63;;169;ALICIO JACOB RICOBOM FILHO;;;;101 - VEREADORES
VEREADOR;jan/63;;270;PAULO RODRIGO MELZI;;;;101 - VEREADORES
VEREADOR;jan/63;;269;CIRINO ADOLFO CABRAL NETO;;;;101 - VEREADORES
VEREADOR;jan/63;;271;JOSÉ DOS SANTOS;;;;101 - VEREADORES
VEREADOR;jan/63;;273;JASSANAN RAMOS;;;;101 - VEREADORES
VEREADOR;jan/63;;175;SAMUEL VIANEI PAGANELLI;;;;101 - VEREADORES
VEREADOR;jan/63;;51;MURILO CORDEIRO;;;;101 - VEREADORES
VEREADOR;jan/63;;272;SEBASTIAO ALVES DA SILVA;;;;101 - VEREADORES
VEREADOR;jan/63;;23;EVANDRO NEVIO ARGENTON;;;;101 - VEREADORES
VEREADOR;jan/63;;176;VALMIR CESAR FRANCISCO;;;;101 - VEREADORES
VEREADOR;jan/63;;309;WALDELI GUAREZI;;;;101 - VEREADORES
VEREADOR PRESIDENTE;ago/16;;268;JEFFERSON  MACHADO MACARINI;;;;101 - VEREADORES
